id,name,type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
0,clk,1,0,0,0,0,0,0,0,0,0,0
1,key[0],1,0,0,0,0,0,0,0,0,0,0
2,key[1],1,0,0,0,0,0,0,0,0,0,0
3,key[2],1,0,0,0,0,0,0,0,0,0,0
4,key[3],1,0,0,0,0,0,0,0,0,0,0
5,key[4],1,0,0,0,0,0,0,0,0,0,0
6,key[5],1,0,0,0,0,0,0,0,0,0,0
7,key[6],1,0,0,0,0,0,0,0,0,0,0
8,key[7],1,0,0,0,0,0,0,0,0,0,0
9,key[8],1,0,0,0,0,0,0,0,0,0,0
10,key[9],1,0,0,0,0,0,0,0,0,0,0
11,key[10],1,0,0,0,0,0,0,0,0,0,0
12,key[11],1,0,0,0,0,0,0,0,0,0,0
13,key[12],1,0,0,0,0,0,0,0,0,0,0
14,key[13],1,0,0,0,0,0,0,0,0,0,0
15,key[14],1,0,0,0,0,0,0,0,0,0,0
16,key[15],1,0,0,0,0,0,0,0,0,0,0
17,key[16],1,0,0,0,0,0,0,0,0,0,0
18,key[17],1,0,0,0,0,0,0,0,0,0,0
19,key[18],1,0,0,0,0,0,0,0,0,0,0
20,key[19],1,0,0,0,0,0,0,0,0,0,0
21,key[20],1,0,0,0,0,0,0,0,0,0,0
22,key[21],1,0,0,0,0,0,0,0,0,0,0
23,key[22],1,0,0,0,0,0,0,0,0,0,0
24,key[23],1,0,0,0,0,0,0,0,0,0,0
25,key[24],1,0,0,0,0,0,0,0,0,0,0
26,key[25],1,0,0,0,0,0,0,0,0,0,0
27,key[26],1,0,0,0,0,0,0,0,0,0,0
28,key[27],1,0,0,0,0,0,0,0,0,0,0
29,key[28],1,0,0,0,0,0,0,0,0,0,0
30,key[29],1,0,0,0,0,0,0,0,0,0,0
31,key[30],1,0,0,0,0,0,0,0,0,0,0
32,key[31],1,0,0,0,0,0,0,0,0,0,0
33,key[32],1,0,0,0,0,0,0,0,0,0,0
34,key[33],1,0,0,0,0,0,0,0,0,0,0
35,key[34],1,0,0,0,0,0,0,0,0,0,0
36,key[35],1,0,0,0,0,0,0,0,0,0,0
37,key[36],1,0,0,0,0,0,0,0,0,0,0
38,key[37],1,0,0,0,0,0,0,0,0,0,0
39,key[38],1,0,0,0,0,0,0,0,0,0,0
40,key[39],1,0,0,0,0,0,0,0,0,0,0
41,key[40],1,0,0,0,0,0,0,0,0,0,0
42,key[41],1,0,0,0,0,0,0,0,0,0,0
43,key[42],1,0,0,0,0,0,0,0,0,0,0
44,key[43],1,0,0,0,0,0,0,0,0,0,0
45,key[44],1,0,0,0,0,0,0,0,0,0,0
46,key[45],1,0,0,0,0,0,0,0,0,0,0
47,key[46],1,0,0,0,0,0,0,0,0,0,0
48,key[47],1,0,0,0,0,0,0,0,0,0,0
49,key[48],1,0,0,0,0,0,0,0,0,0,0
50,key[49],1,0,0,0,0,0,0,0,0,0,0
51,key[50],1,0,0,0,0,0,0,0,0,0,0
52,key[51],1,0,0,0,0,0,0,0,0,0,0
53,key[52],1,0,0,0,0,0,0,0,0,0,0
54,key[53],1,0,0,0,0,0,0,0,0,0,0
55,key[54],1,0,0,0,0,0,0,0,0,0,0
56,key[55],1,0,0,0,0,0,0,0,0,0,0
57,key[56],1,0,0,0,0,0,0,0,0,0,0
58,key[57],1,0,0,0,0,0,0,0,0,0,0
59,key[58],1,0,0,0,0,0,0,0,0,0,0
60,key[59],1,0,0,0,0,0,0,0,0,0,0
61,key[60],1,0,0,0,0,0,0,0,0,0,0
62,key[61],1,0,0,0,0,0,0,0,0,0,0
63,key[62],1,0,0,0,0,0,0,0,0,0,0
64,key[63],1,0,0,0,0,0,0,0,0,0,0
65,key[64],1,0,0,0,0,0,0,0,0,0,0
66,key[65],1,0,0,0,0,0,0,0,0,0,0
67,key[66],1,0,0,0,0,0,0,0,0,0,0
68,key[67],1,0,0,0,0,0,0,0,0,0,0
69,key[68],1,0,0,0,0,0,0,0,0,0,0
70,key[69],1,0,0,0,0,0,0,0,0,0,0
71,key[70],1,0,0,0,0,0,0,0,0,0,0
72,key[71],1,0,0,0,0,0,0,0,0,0,0
73,key[72],1,0,0,0,0,0,0,0,0,0,0
74,key[73],1,0,0,0,0,0,0,0,0,0,0
75,key[74],1,0,0,0,0,0,0,0,0,0,0
76,key[75],1,0,0,0,0,0,0,0,0,0,0
77,key[76],1,0,0,0,0,0,0,0,0,0,0
78,key[77],1,0,0,0,0,0,0,0,0,0,0
79,key[78],1,0,0,0,0,0,0,0,0,0,0
80,key[79],1,0,0,0,0,0,0,0,0,0,0
81,key[80],1,0,0,0,0,0,0,0,0,0,0
82,key[81],1,0,0,0,0,0,0,0,0,0,0
83,key[82],1,0,0,0,0,0,0,0,0,0,0
84,key[83],1,0,0,0,0,0,0,0,0,0,0
85,key[84],1,0,0,0,0,0,0,0,0,0,0
86,key[85],1,0,0,0,0,0,0,0,0,0,0
87,key[86],1,0,0,0,0,0,0,0,0,0,0
88,key[87],1,0,0,0,0,0,0,0,0,0,0
89,key[88],1,0,0,0,0,0,0,0,0,0,0
90,key[89],1,0,0,0,0,0,0,0,0,0,0
91,key[90],1,0,0,0,0,0,0,0,0,0,0
92,key[91],1,0,0,0,0,0,0,0,0,0,0
93,key[92],1,0,0,0,0,0,0,0,0,0,0
94,key[93],1,0,0,0,0,0,0,0,0,0,0
95,key[94],1,0,0,0,0,0,0,0,0,0,0
96,key[95],1,0,0,0,0,0,0,0,0,0,0
97,key[96],1,0,0,0,0,0,0,0,0,0,0
98,key[97],1,0,0,0,0,0,0,0,0,0,0
99,key[98],1,0,0,0,0,0,0,0,0,0,0
100,key[99],1,0,0,0,0,0,0,0,0,0,0
101,key[100],1,0,0,0,0,0,0,0,0,0,0
102,key[101],1,0,0,0,0,0,0,0,0,0,0
103,key[102],1,0,0,0,0,0,0,0,0,0,0
104,key[103],1,0,0,0,0,0,0,0,0,0,0
105,key[104],1,0,0,0,0,0,0,0,0,0,0
106,key[105],1,0,0,0,0,0,0,0,0,0,0
107,key[106],1,0,0,0,0,0,0,0,0,0,0
108,key[107],1,0,0,0,0,0,0,0,0,0,0
109,key[108],1,0,0,0,0,0,0,0,0,0,0
110,key[109],1,0,0,0,0,0,0,0,0,0,0
111,key[110],1,0,0,0,0,0,0,0,0,0,0
112,key[111],1,0,0,0,0,0,0,0,0,0,0
113,key[112],1,0,0,0,0,0,0,0,0,0,0
114,key[113],1,0,0,0,0,0,0,0,0,0,0
115,key[114],1,0,0,0,0,0,0,0,0,0,0
116,key[115],1,0,0,0,0,0,0,0,0,0,0
117,key[116],1,0,0,0,0,0,0,0,0,0,0
118,key[117],1,0,0,0,0,0,0,0,0,0,0
119,key[118],1,0,0,0,0,0,0,0,0,0,0
120,key[119],1,0,0,0,0,0,0,0,0,0,0
121,key[120],1,0,0,0,0,0,0,0,0,0,0
122,key[121],1,0,0,0,0,0,0,0,0,0,0
123,key[122],1,0,0,0,0,0,0,0,0,0,0
124,key[123],1,0,0,0,0,0,0,0,0,0,0
125,key[124],1,0,0,0,0,0,0,0,0,0,0
126,key[125],1,0,0,0,0,0,0,0,0,0,0
127,key[126],1,0,0,0,0,0,0,0,0,0,0
128,key[127],1,0,0,0,0,0,0,0,0,0,0
129,load[0],0,1,0,0,0,0,0,0,0,0,0
130,load[1],0,1,0,0,0,0,0,0,0,0,0
131,load[2],0,1,0,0,0,0,0,0,0,0,0
132,load[3],0,1,0,0,0,0,0,0,0,0,0
133,load[4],0,1,0,0,0,0,0,0,0,0,0
134,load[5],0,1,0,0,0,0,0,0,0,0,0
135,load[6],0,1,0,0,0,0,0,0,0,0,0
136,load[7],0,1,0,0,0,0,0,0,0,0,0
137,load[8],0,1,0,0,0,0,0,0,0,0,0
138,load[9],0,1,0,0,0,0,0,0,0,0,0
139,load[10],0,1,0,0,0,0,0,0,0,0,0
140,load[11],0,1,0,0,0,0,0,0,0,0,0
141,load[12],0,1,0,0,0,0,0,0,0,0,0
142,load[13],0,1,0,0,0,0,0,0,0,0,0
143,load[14],0,1,0,0,0,0,0,0,0,0,0
144,load[15],0,1,0,0,0,0,0,0,0,0,0
145,load[16],0,1,0,0,0,0,0,0,0,0,0
146,load[17],0,1,0,0,0,0,0,0,0,0,0
147,load[18],0,1,0,0,0,0,0,0,0,0,0
148,load[19],0,1,0,0,0,0,0,0,0,0,0
149,load[20],0,1,0,0,0,0,0,0,0,0,0
150,load[21],0,1,0,0,0,0,0,0,0,0,0
151,load[22],0,1,0,0,0,0,0,0,0,0,0
152,load[23],0,1,0,0,0,0,0,0,0,0,0
153,load[24],0,1,0,0,0,0,0,0,0,0,0
154,load[25],0,1,0,0,0,0,0,0,0,0,0
155,load[26],0,1,0,0,0,0,0,0,0,0,0
156,load[27],0,1,0,0,0,0,0,0,0,0,0
157,load[28],0,1,0,0,0,0,0,0,0,0,0
158,load[29],0,1,0,0,0,0,0,0,0,0,0
159,load[30],0,1,0,0,0,0,0,0,0,0,0
160,load[31],0,1,0,0,0,0,0,0,0,0,0
161,load[32],0,1,0,0,0,0,0,0,0,0,0
162,load[33],0,1,0,0,0,0,0,0,0,0,0
163,load[34],0,1,0,0,0,0,0,0,0,0,0
164,load[35],0,1,0,0,0,0,0,0,0,0,0
165,load[36],0,1,0,0,0,0,0,0,0,0,0
166,load[37],0,1,0,0,0,0,0,0,0,0,0
167,load[38],0,1,0,0,0,0,0,0,0,0,0
168,load[39],0,1,0,0,0,0,0,0,0,0,0
169,load[40],0,1,0,0,0,0,0,0,0,0,0
170,load[41],0,1,0,0,0,0,0,0,0,0,0
171,load[42],0,1,0,0,0,0,0,0,0,0,0
172,load[43],0,1,0,0,0,0,0,0,0,0,0
173,load[44],0,1,0,0,0,0,0,0,0,0,0
174,load[45],0,1,0,0,0,0,0,0,0,0,0
175,load[46],0,1,0,0,0,0,0,0,0,0,0
176,load[47],0,1,0,0,0,0,0,0,0,0,0
177,load[48],0,1,0,0,0,0,0,0,0,0,0
178,load[49],0,1,0,0,0,0,0,0,0,0,0
179,load[50],0,1,0,0,0,0,0,0,0,0,0
180,load[51],0,1,0,0,0,0,0,0,0,0,0
181,load[52],0,1,0,0,0,0,0,0,0,0,0
182,load[53],0,1,0,0,0,0,0,0,0,0,0
183,load[54],0,1,0,0,0,0,0,0,0,0,0
184,load[55],0,1,0,0,0,0,0,0,0,0,0
185,load[56],0,1,0,0,0,0,0,0,0,0,0
186,load[57],0,1,0,0,0,0,0,0,0,0,0
187,load[58],0,1,0,0,0,0,0,0,0,0,0
188,load[59],0,1,0,0,0,0,0,0,0,0,0
189,load[60],0,1,0,0,0,0,0,0,0,0,0
190,load[61],0,1,0,0,0,0,0,0,0,0,0
191,load[62],0,1,0,0,0,0,0,0,0,0,0
192,load[63],0,1,0,0,0,0,0,0,0,0,0
193,rst,1,0,0,0,0,0,0,0,0,0,0
194,_063_,0,0,0,1,0,0,0,0,0,0,0
